ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
79542,25000,25000,18.49%,60 months,27.56%,MORTGAGE,8606.56,11,15210,3,5 years
75473,19750,19750,17.27%,60 months,13.39%,MORTGAGE,6737.5,14,19070,3,4 years
67265,2100,2100,14.33%,36 months,3.50%,OWN,1000,13,893,1,< 1 year
80167,28000,28000,16.29%,36 months,19.62%,MORTGAGE,7083.33,12,38194,1,10+ years
17240,24250,17431.82,12.23%,60 months,23.79%,MORTGAGE,5833.33,6,31061,2,10+ years
32737,5400,5375,8.90%,36 months,6.27%,RENT,3000,2,90,2,n/a
71685,16000,16000,22.47%,60 months,11.27%,RENT,4791.67,5,8474,0,2 years
38028,6400,6400,7.51%,36 months,9.58%,RENT,6400,11,12306,1,< 1 year
32119,24000,23772.15,12.99%,60 months,15.54%,MORTGAGE,8333.33,24,56984,0,n/a
84563,8000,8000,7.62%,36 months,0%,MORTGAGE,3500,7,0,1,n/a
78765,9000,9000,10.16%,36 months,13.76%,RENT,5166.67,10,6490,0,10+ years
24590,13000,12975,9.99%,60 months,8.77%,MORTGAGE,10500,8,6810,0,10+ years
9061,10000,10000,14.22%,36 months,12.24%,RENT,2541.67,4,13667,0,8 years
47011,3600,3600,13.67%,36 months,16.41%,MORTGAGE,5113,10,715,1,n/a
21789,7350,7350,10.74%,60 months,29.82%,MORTGAGE,5000,15,15093,1,4 years
29653,17000,16975,11.99%,60 months,12.69%,MORTGAGE,4666.67,17,11677,2,10+ years
100440,18825,18825,21.00%,60 months,19.22%,RENT,4583.33,8,17292,2,10+ years
88526,4200,4200,17.27%,36 months,14.78%,RENT,2083.33,7,3690,0,< 1 year
101715,5000,1750.04,11.54%,36 months,10.36%,RENT,3416.67,17,15301,7,1 year
103374,3700,3600,7.88%,36 months,10.17%,MORTGAGE,4985,6,11586,4,n/a
77844,6625,6625,17.77%,36 months,33.43%,RENT,2916.67,13,11369,0,1 year
75012,15000,15000,12.12%,36 months,19.16%,RENT,5000,18,13830,0,10+ years
73179,29175,29175,21.00%,60 months,8.83%,RENT,12500,9,15308,2,4 years
3162,6000,6000,11.89%,36 months,9.77%,RENT,4166.67,13,15377,1,10+ years
2386,10000,10000,13.47%,36 months,5.59%,RENT,4583,6,2432,1,4 years
57120,22000,22000,14.65%,60 months,29.26%,MORTGAGE,3912,8,21633,0,10+ years
99360,18000,18000,24.89%,60 months,14.88%,RENT,4000,10,7377,3,8 years
54619,12000,11875,8.90%,36 months,12.06%,RENT,5000,11,14717,0,4 years
50633,24000,24000,7.62%,36 months,14.22%,MORTGAGE,6833.33,8,11058,0,10+ years
48560,5000,5000,12.12%,36 months,11.08%,RENT,1833.33,7,5408,0,10+ years
2148,6500,5329.76,11.89%,36 months,8.57%,RENT,1750,8,9317,1,6 years
10441,4000,3925,11.49%,36 months,13.98%,MORTGAGE,4700,7,19310,3,n/a
103448,16000,15825,16.82%,36 months,20.30%,MORTGAGE,6250,18,30772,5,1 year
14052,7300,7300,7.88%,36 months,11.78%,RENT,3090.5,5,13459,0,7 years
13863,25000,20850,15.58%,60 months,0.60%,MORTGAGE,5666.67,2,0,4,10+ years
81254,19400,19400,23.28%,60 months,9.30%,MORTGAGE,6000,5,28921,0,10+ years
61835,11625,11625,15.80%,36 months,31.12%,RENT,2860,14,8374,2,7 years
51625,10000,10000,12.12%,36 months,12.46%,MORTGAGE,4375,7,11070,0,5 years
18629,24000,24000,6.54%,36 months,5.62%,MORTGAGE,9583.33,9,22725,2,3 years
73376,3000,3000,11.14%,36 months,1.70%,MORTGAGE,7750,7,874,0,10+ years
34961,19000,19000,11.71%,60 months,13.79%,MORTGAGE,4791.67,9,16348,0,5 years
103249,2500,2500,15.31%,36 months,22.81%,RENT,2530,7,5276,6,< 1 year
82112,12000,12000,12.12%,36 months,14.66%,MORTGAGE,5000,11,13235,2,2 years
457,17350,7019.25,13.55%,36 months,18.52%,OWN,3666.67,8,18966,2,6 years
11779,24000,14860.05,13.61%,60 months,10.77%,MORTGAGE,7750,11,2594,2,5 years
34144,21000,21000,14.27%,60 months,11.27%,MORTGAGE,5333.33,8,19431,0,8 years
95951,12000,12000,13.11%,36 months,6.10%,MORTGAGE,4833.33,9,12025,0,9 years
1034,5000,0,8.63%,36 months,1.92%,RENT,2600,13,814,0,8 years
2645,5000,5000,9.32%,36 months,3.89%,MORTGAGE,2083.33,4,3901,2,4 years
28738,20000,18126.99,11.99%,60 months,20.24%,MORTGAGE,4500,15,26424,0,10+ years
30600,12000,12000,16.89%,60 months,15.24%,MORTGAGE,7500,14,28589,2,3 years
72499,8000,8000,17.27%,36 months,27.88%,RENT,2833.33,10,9926,3,6 years
22700,1900,1900,7.29%,36 months,23.05%,RENT,2208.33,11,8508,1,3 years
63404,23300,23275,23.83%,60 months,33.56%,MORTGAGE,13666.67,15,72774,1,9 years
102234,8400,6725,15.45%,36 months,15.71%,RENT,7083.33,7,14578,3,< 1 year
84318,8000,8000,14.09%,36 months,21%,OWN,3500,12,7498,0,1 year
71538,10000,10000,12.12%,36 months,19.58%,RENT,6250,17,16348,0,5 years
7603,1600,1600,13.11%,36 months,18.99%,MORTGAGE,3459,9,6281,3,10+ years
69401,7200,7200,15.80%,36 months,25.32%,MORTGAGE,3333.33,13,8903,1,6 years
60968,15000,15000,17.77%,36 months,13.34%,MORTGAGE,4333.33,9,17264,0,10+ years
10326,15400,9458.33,16.32%,60 months,15.17%,RENT,6500,11,9989,1,4 years
57472,15000,15000,17.27%,36 months,33.30%,RENT,3000,20,15092,0,10+ years
7565,12000,12000,9.88%,36 months,5.16%,MORTGAGE,3333.33,7,1117,3,3 years
84273,21000,21000,18.75%,60 months,11.31%,MORTGAGE,10250,12,38820,0,10+ years
22150,6000,5950,10.00%,36 months,8.74%,MORTGAGE,15416.67,9,105730,1,10+ years
46024,12000,12000,6.62%,36 months,4.81%,MORTGAGE,9833.33,15,5584,2,10+ years
15315,7000,6975,6.91%,36 months,21.23%,RENT,3000,12,10784,1,5 years
49872,5000,5000,8.90%,36 months,15.93%,MORTGAGE,6666.67,10,12307,0,7 years
84917,10000,10000,13.11%,36 months,18.96%,RENT,8744.26,16,27086,0,< 1 year
103250,5000,4975,16.70%,36 months,2.67%,RENT,3000,4,2474,8,1 year
17315,12000,11341.5,6.91%,36 months,17.92%,RENT,5200,16,8182,0,< 1 year
28032,5000,5000,15.99%,36 months,5.26%,MORTGAGE,2416.67,5,1620,0,6 years
74945,16000,16000,15.31%,36 months,19.92%,RENT,6000,11,10915,1,7 years
33225,16000,16000,17.27%,60 months,19.26%,RENT,7000,7,5231,1,10+ years
38534,10000,10000,6.62%,36 months,24.24%,RENT,3750,9,1623,0,2 years
45644,10000,10000,9.76%,36 months,18.31%,RENT,2916.67,6,5670,1,10+ years
77074,20500,20500,12.12%,36 months,30.95%,MORTGAGE,4333.33,14,33294,0,10+ years
44426,21000,21000,19.22%,60 months,13.87%,MORTGAGE,6000,10,17008,1,10+ years
47862,24375,24375,13.99%,36 months,13.64%,MORTGAGE,11500,16,35461,0,10+ years
5465,7000,7000,7.40%,36 months,8.89%,MORTGAGE,3352,14,14014,2,< 1 year
81174,20000,20000,8.90%,36 months,14.90%,MORTGAGE,6541.67,14,14272,2,< 1 year
88558,18000,18000,10.16%,36 months,16.71%,MORTGAGE,6666.67,16,19850,1,6 years
3219,5000,5000,9.63%,36 months,11.81%,MORTGAGE,9166.67,16,23658,2,10+ years
33641,18000,17975,11.71%,36 months,10.34%,RENT,3540,8,14960,0,< 1 year
51326,5875,5875,7.90%,36 months,14.75%,RENT,5416.67,15,2617,2,4 years
79041,12000,12000,12.12%,36 months,26.96%,RENT,3833.33,15,6038,0,4 years
103384,5000,5000,13.48%,36 months,11.21%,RENT,3800,4,1575,4,3 years
26867,14000,12800,14.79%,60 months,8.37%,RENT,6166.67,5,2697,2,< 1 year
69249,5000,5000,15.31%,36 months,17.37%,RENT,1750,3,10361,0,< 1 year
20592,5000,5000,5.42%,36 months,23.15%,RENT,2833.33,7,4573,0,3 years
59206,10000,10000,17.27%,36 months,21.84%,MORTGAGE,2916.67,18,21245,0,10+ years
48554,20000,20000,7.90%,36 months,1.30%,RENT,10400,5,6969,0,1 year
59160,19000,19000,9.76%,36 months,16.43%,RENT,3833.33,10,22033,1,7 years
93455,15000,15000,11.14%,36 months,15.51%,MORTGAGE,8750,9,15207,0,10+ years
13393,3000,2925,11.49%,36 months,9.22%,RENT,4900,6,3996,1,10+ years
1670,2500,2275.77,7.68%,36 months,17.59%,MORTGAGE,3666.67,6,406,0,10+ years
27520,5500,5500,15.99%,60 months,17.95%,RENT,4250,16,13256,0,10+ years
19466,4800,4775,5.79%,36 months,11.71%,RENT,2800,6,9228,0,3 years
65134,34500,34450,6.62%,36 months,16.46%,MORTGAGE,10000,.,5317,0,9 years
82079,10000,10000,12.12%,36 months,20.16%,RENT,5833.33,16,25687,0,4 years
58346,4800,4800,19.99%,36 months,20.44%,MORTGAGE,2500,4,21514,1,n/a
8692,16000,15875,13.85%,36 months,12.50%,RENT,6750,12,6799,2,7 years
10594,15000,10765.99,7.88%,36 months,3.90%,RENT,10000,8,6055,2,5 years
38373,10000,10000,9.91%,36 months,14.98%,RENT,5000,8,16908,0,10+ years
50781,15000,15000,7.90%,36 months,21.54%,OWN,5000,8,21555,0,2 years
16414,7000,6875,10.36%,36 months,13.94%,RENT,5000,5,1364,2,10+ years
77151,20950,20950,15.80%,36 months,15.71%,MORTGAGE,12916.67,8,30188,1,4 years
59011,13000,13000,6.62%,36 months,5.95%,MORTGAGE,11666.67,16,11451,1,7 years
27095,7500,7500,5.42%,36 months,22.26%,MORTGAGE,2583.33,11,2160,0,10+ years
77494,15000,15000,14.33%,36 months,33.42%,RENT,4500,20,13369,0,< 1 year
16667,3000,,17.44%,36 months,15.79%,RENT,7952,4,12578,0,8 years
100288,6000,6000,17.77%,36 months,32.76%,OWN,1666.67,12,15055,2,< 1 year
48798,14400,14400,6.62%,36 months,6.71%,MORTGAGE,12500,6,1280,0,10+ years
75168,14675,14675,7.90%,36 months,17.40%,MORTGAGE,3166.67,7,22549,0,10+ years
28368,5000,5000,8.49%,36 months,22.53%,MORTGAGE,3000,9,3388,2,10+ years
40027,24000,24000,12.69%,36 months,19.53%,RENT,4583.33,5,21377,0,5 years
89600,24000,24000,15.80%,60 months,16.73%,MORTGAGE,7500,10,24126,0,7 years
61261,8000,8000,19.05%,36 months,2.83%,RENT,3333.33,4,2832,0,n/a
6521,24500,24450,11.83%,36 months,13.42%,OWN,12500,10,346,0,10+ years
99297,25000,25000,14.33%,36 months,27.88%,OWN,5416.67,11,18460,2,10+ years
89582,20000,20000,8.90%,36 months,10.79%,RENT,12083.33,8,25672,0,1 year
44626,25000,24975,20.50%,36 months,14.72%,RENT,7301.58,18,21675,0,4 years
75067,35000,35000,21.00%,36 months,11.05%,MORTGAGE,7702,8,11346,0,10+ years
5468,3600,3600,12.87%,36 months,1.58%,MORTGAGE,6333,6,12135,3,< 1 year
89627,24000,24000,12.12%,36 months,29.01%,MORTGAGE,7500,12,14804,1,< 1 year
37585,15000,15000,14.65%,60 months,17.21%,RENT,4583.33,4,13115,1,8 years
28205,11200,11200,21.74%,60 months,6.30%,RENT,5583.33,12,7952,2,10+ years
90531,10000,10000,19.05%,36 months,17.95%,MORTGAGE,3750,10,7034,1,6 years
92989,30000,30000,17.77%,36 months,9.41%,RENT,10192,12,24188,0,< 1 year
1269,3200,766.09,12.86%,36 months,14.77%,RENT,2824,6,3318,1,7 years
85464,8000,8000,14.33%,36 months,4.48%,RENT,6250,8,14607,0,1 year
41523,16000,16000,7.90%,36 months,2.23%,MORTGAGE,7083.33,11,3076,0,5 years
63133,7000,7000,15.31%,36 months,15.64%,RENT,2666.67,11,11529,0,5 years
36576,3000,3000,7.90%,36 months,22.03%,MORTGAGE,5583.33,15,12968,0,3 years
43572,6000,6000,15.96%,36 months,22.10%,RENT,5583.33,9,36748,3,5 years
55803,14400,14400,10.74%,36 months,5.90%,MORTGAGE,6833.33,15,10017,0,10+ years
19636,11700,11650,7.66%,36 months,12.13%,MORTGAGE,4583.33,13,26769,1,10+ years
53054,12000,12000,17.99%,36 months,17.37%,MORTGAGE,3666.67,10,7393,0,7 years
75785,11500,11500,11.14%,36 months,10.47%,RENT,2916.67,6,9562,0,< 1 year
69242,18000,18000,23.28%,60 months,9.05%,RENT,7083.33,6,13106,0,10+ years
39692,25000,23477.53,18.64%,60 months,14.61%,MORTGAGE,5833.33,8,13785,0,10+ years
45245,6000,6000,7.90%,36 months,6.68%,RENT,10416.67,9,20592,0,10+ years
28326,5000,5000,18.39%,36 months,13.71%,RENT,8125,5,29602,0,10+ years
41074,8500,8475,6.03%,36 months,12.33%,MORTGAGE,6100,17,6370,0,10+ years
68962,10000,10000,7.62%,36 months,13.26%,MORTGAGE,7416.67,12,16297,2,10+ years
16221,16500,16175,12.23%,60 months,6.41%,MORTGAGE,5833.33,8,30455,2,< 1 year
77324,16550,16550,17.27%,36 months,32.56%,MORTGAGE,4333.33,15,12163,1,10+ years
84110,2500,2500,14.09%,36 months,20.95%,RENT,2666.67,9,15787,0,n/a
8549,10000,9850,9.88%,36 months,17.04%,MORTGAGE,4500,8,6948,2,4 years
36716,5000,5000,7.51%,36 months,9.53%,MORTGAGE,4333.33,5,1825,1,7 years
104040,6000,6000,10.75%,36 months,12.05%,RENT,6000,14,25090,4,10+ years
55501,8000,8000,6.03%,36 months,4.51%,MORTGAGE,3500,9,6737,0,10+ years
47059,12000,12000,13.11%,36 months,17.51%,MORTGAGE,9666.67,12,17226,0,5 years
41413,13250,13250,7.90%,36 months,22.64%,RENT,2500,7,12957,0,< 1 year
12958,12000,11875,10.38%,60 months,16.98%,MORTGAGE,3791.67,10,59495,1,10+ years
28280,5200,5200,13.99%,36 months,23.18%,MORTGAGE,5000,17,28118,2,5 years
85721,10000,10000,13.11%,36 months,18.72%,RENT,4625,13,7411,0,2 years
46056,11700,11675,7.90%,36 months,5.63%,MORTGAGE,3320.83,11,14301,0,10+ years
15164,6000,5750,7.14%,36 months,8.91%,MORTGAGE,4500,10,4561,1,10+ years
30840,20000,19975,15.99%,60 months,16.16%,MORTGAGE,3750,9,19872,1,< 1 year
32593,2000,2000,12.42%,36 months,1.99%,RENT,2518.75,5,985,0,7 years
25133,4500,4500,5.99%,36 months,21.46%,RENT,3644.83,8,1058,2,< 1 year
47228,20800,20800,19.22%,60 months,15.50%,RENT,6916.67,20,28764,1,10+ years
52698,8500,8500,9.76%,36 months,6.58%,MORTGAGE,5333.33,10,3432,0,10+ years
40113,24500,23475,19.03%,60 months,23.02%,RENT,4497,13,18906,0,10+ years
103784,2000,1975,11.12%,36 months,20.50%,MORTGAGE,6833.33,19,20653,5,5 years
37291,14400,14375,12.69%,60 months,16.06%,RENT,6250,6,28675,1,7 years
35615,4800,4800,12.42%,36 months,17.98%,MORTGAGE,4500,9,30895,0,10+ years
73893,8325,8325,15.31%,36 months,15.22%,RENT,2916.67,13,7171,0,4 years
1337,6600,3800,9.07%,36 months,1.84%,OWN,2667,16,4889,1,< 1 year
80404,7750,7750,20.49%,36 months,9%,MORTGAGE,2000,3,5399,0,5 years
64690,6000,6000,14.09%,36 months,22.50%,RENT,2666.67,18,5955,0,10+ years
51424,18000,18000,17.99%,36 months,20.18%,RENT,6916.67,15,23786,0,10+ years
39094,12000,12000,10.65%,36 months,26.06%,RENT,5833.33,15,24893,3,10+ years
72766,10000,10000,15.80%,36 months,13.10%,MORTGAGE,4458.33,7,6413,1,< 1 year
53648,19500,19500,20.50%,36 months,2.93%,MORTGAGE,9250,5,8915,1,10+ years
45836,7000,7000,17.27%,36 months,18.38%,OWN,2464.37,9,7089,0,3 years
80219,7300,7300,6.62%,36 months,20.11%,MORTGAGE,3416.67,14,23030,0,4 years
92363,27050,27050,17.27%,60 months,27.59%,MORTGAGE,5025,13,40037,1,10+ years
9468,15000,14925,13.85%,36 months,5.10%,RENT,3000,4,5936,1,3 years
